Id,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1,296127,296558,296016,296540,1.1586,343244.1384,296257.67168
2,296539,296769,296060,296679,11.115509900000001,3295332.0063,296462.51372
3,296060,296090,296060,296060,5.52749436,1636491.1845,296063.83615
4,296060,296260,296015,296015,8.41406416,2491620.3683,296125.6678
5,296361,296540,296155,296155,3.99300969,1183291.629,296340.78573
6,296360,296360,296060,296060,4.11295758,1218324.398,296216.13506
7,296360,296460,296014,296450,24.56310393,7273386.5373,296110.23745
8,296360,296671,296001,296001,10.750021499999999,3186951.403,296460.00271
9,296279,296500,296093,296150,7.03086192,2083921.6222,296396.32323000004
10,296150,296231,296122,296122,1.3725,406497.4255,296172.98761